Cod;Funcionario;Entidad;Nivel Información ;Frecuencia actualizacion ;TipoDato;Actas de acercamiento y manifestación de interés;Suscripción acuerdo de compromiso;Entrega acuerdo de compromiso;Acuerdo de compromiso;Gestion acceso a los datos y documentos requeridos ; Análisis de información;Cronograma Concertado;Análisis y cronograma (fecha programada);Fecha de entrega de información;Plazo de análisis;Análisis de información;Plazo de cronograma;Análisis y cronograma;Seguimiento a los acuerdos;Estándares (fecha programada);Registro (completo);ET (completo);CO (completo);DD (completo);REC (completo);SERVICIO (completo);Estándares;Resultados de orientación técnica;Verificación del servicio web geográfico;Verificar Aprobar Resultados;Revisar y validar los datos cargados en la base de datos;Aprobación resultados obtenidos en la orientación;Disponer datos temáticos;Fecha de publicación programada;Publicación;Catálogo de recursos geográficos;Plazo de oficio de cierre;Oficios de cierre;Fecha de oficio de cierre;Estado;Observación;Porcentaje Avance;Estado Fechas
2;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Indicador de Espacio Público por Localidad;Anual;Actualizar;Si;24/01/2024;31/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
3;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Espacio Público Recuperado;Anual;Actualizar;Si;24/01/2024;24/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
8;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Módulo de Paradero;Semestral;Actualizar;Si;24/01/2024;24/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
11;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Construcción de uso público;Anual;Actualizar;Si;24/01/2024;24/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
12;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Predio de uso público;Anual;Actualizar;Si;24/01/2024;24/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
13;Daniel Alberto Morales Dueñas;Departamento Administrativo de la Defensoría del Espacio Publico- DADEP;Perímetro de urbanización;Anual;Actualizar;Si;24/01/2024;24/01/2024;Si;Si;Si;Si;;11/04/2024;;Si;;18/09/2024;Si;31/12/2024;Completo;Completo;Completo;Completo;Completo;Completo;25/03/2025;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
17;Daniel Alberto Morales Dueñas;Secretaría Distrital de Gobierno;Alcaldía Local;Anual;Actualizar;Si;15/07/2024;17/07/2024;Si;Si;Si;Si;;17/07/2024;;Si;;20/09/2024;Si;29/11/2024;Completo;Completo;Completo;Completo;Completo;Completo;17/12/2024;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
18;Daniel Alberto Morales Dueñas;Secretaría Distrital de Gobierno;Intervención;Anual;Actualizar;Si;15/07/2024;17/07/2024;Si;Si;Si;Si;;17/07/2024;;Si;;20/09/2024;Si;29/11/2024;Completo;Completo;Completo;Completo;Completo;Completo;17/12/2024;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
22;Daniel Alberto Morales Dueñas;Secretaría Distrital de Gobierno;Microempresa Local;Anual;Nuevo;Si;15/07/2024;17/07/2024;Si;Si;Si;Si;;17/07/2024;;Si;;20/09/2024;Si;29/11/2024;Completo;Completo;Completo;Completo;Completo;Completo;17/12/2024;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
;Daniel Alberto Morales Dueñas;Secretaría Distrital de Gobierno;Área de Mejoramiento de Espacio Público;Anual;Nuevo;Si;;;;Si;Si;Si;;17/07/2024;;Si;;20/09/2024;Si;29/11/2024;Completo;Completo;Completo;Completo;Completo;Completo;17/12/2024;Si;Si;Si;Si;Si;Si;30/03/2025;30/03/2025;Si;;Si;30/04/2025;;Terminado;;
